NR_NG,NER_NG,SR_NG,ER_NG,WR_NG
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
